FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
REPLY,0,1,LONG,IV,NA,NA,NA,NA,NA,0x44
REPLY,0,1,LONG,IV,NA,NA,NA,NA,NA,0x77
REPLY,0,1,LONG,IV,NA,NA,NA,NA,NA,0x88
REPLY,0,1,LONG,IV,NA,NA,NA,NA,NA,0x89
REPLY,0,1,LONG,IV,NA,NA,NA,NA,NA,0x99
REPLY,0,1,LONG,IV,NA,NA,NA,NA,NA,0x9a
REPLY,2,1,LONG,SS,NA,NA,NA,1,NA,NA
REPLY,2,1,LONG,SS,NA,NA,NA,-1,NA,NA
REPLY,2,1,LONG,IV,NA,NA,NA,NA,NA,0
REPLY,2,1,LONG,VAT,NA,NA,180,1,NA,NA
REPLY,2,1,LONG,FVAT,NA,NA,180,1,NA,NA
REPLY,4,1,LONG,SS,NA,NA,NA,1,NA,NA
REPLY,4,1,LONG,SS,NA,NA,NA,-1,NA,NA
REPLY,5,1,LONG,SS,NA,NA,NA,1,NA,NA
REPLY,5,1,LONG,SS,NA,NA,NA,-1,NA,NA
REPLY,6,1,BIN,BF,0,7,NA,NA,-1,1
